model,arm,n_cells,r_gain_pairwise,r_gain_baseline,r_gain_conf_pairwise
drax,lowT,19,0.777,0.692,0.156
drax,main,21,0.869,0.887,0.954
parakeet-ctc,sample,8,0.104,0.464,0.828
whisfusion,main,16,0.867,0.845,0.874
whisper-small,sample,8,0.239,0.405,0.256
whisper-turbo,sample,8,-0.017,0.099,-0.393
