model,set,arm,T,n,unique,pairwise,first,conf,mbr,rover_freq,rover,oracle_cand,oracle_comp
drax,ls-dev-other,T0.1,0.1,200,3.48,2.976,5.922,5.698,5.475,5.419,5.531,4.05,3.352
drax,ls-dev-other,T0.4,0.4,200,3.93,3.535,6.117,5.559,5.475,5.447,5.447,3.659,2.821
drax,ls-dev-other,T0.7,0.7,200,4.69,4.601,6.732,5.838,5.475,5.447,5.642,3.436,2.57
drax,ls-dev-other,T1,1.0,200,5.71,6.261,7.179,6.313,5.782,5.615,5.754,3.52,2.514
drax,ls-dev-other,T1.3,1.3,200,8.465,12.553,9.944,6.788,5.978,5.559,5.81,4.33,2.737
drax,ls-dev-other,T1.6,1.6,200,15.045,46.544,33.128,13.827,13.575,9.413,9.162,11.508,4.274
drax,ls-dev-other,T2,2.0,200,16.0,97.635,148.883,89.944,82.514,81.257,62.737,78.464,48.631
