model,set,label,a,b,wer_a,wer_b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
whisfusion,ls-dev-other,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,16.150870406189554,12.627797734180714,3.5230726720088423,2.862354661755558,4.177794609119834,0.3372536774490169,0.0,400,162,37,201,33,2.65073395888473,4.448414946118087,5.0378360502440036e-20
whisfusion,ls-tc-babble0,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,69.39232011929911,58.28258978501305,11.10973033428607,10.00896835135333,12.229913177945436,0.5680083028062314,0.0,400,273,39,88,40,9.749302055041884,12.484371036808257,4.940135238856394e-41
whisfusion,ls-tc-babble10,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,16.70187647570523,11.395551137069715,5.306325338635516,4.58330378256579,6.011919459193671,0.3811240281890319,0.0,400,197,32,171,40,4.456973169074749,6.241344625943116,6.796894762012554e-29
whisfusion,ls-tc-babble5,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,32.819684354417795,24.4066111594383,8.413073194979496,7.490204861483538,9.348019654056312,0.46582107441286835,0.0,400,241,31,128,40,7.1952786812212,9.614508618584704,2.0935599782360294e-38
whisfusion,ls-tc-white5,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,24.754566919348825,18.963588915123648,5.7909780042251775,5.01547189272821,6.565841622431167,0.39748805985560626,0.0,400,211,29,160,40,5.06236739491564,6.559906007090235,1.919131348426458e-31
whisfusion,ls-test-clean,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,7.754442649434572,5.505157201441531,2.249285447993041,1.7175771496066343,2.793883135566751,0.279124239831128,0.0,400,113,23,264,40,1.6767417034185326,2.82554490054931,2.307738656656599e-15
whisfusion,ls-test-other,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,15.873690172755593,11.922967997734354,3.9507221750212405,3.3393177932256246,4.552578748639018,0.3052552982331697,0.0,400,161,21,218,33,3.270241003471857,4.710891875547211,3.0723005518592924e-25
whisfusion,slr83,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,20.69218091924556,17.048159677714704,3.6440212415308553,2.948663880949862,4.344204652756632,0.35575314504610595,0.0,400,158,31,211,24,2.9775362080559287,4.395209936743235,9.033514615744432e-20
whisfusion,spgispeech,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,20.461634435433563,14.878353087960075,5.583281347473487,4.998313861285527,6.162532881876647,0.2903947169179234,0.0,400,262,26,112,302,4.999869927159209,6.146469413102714,2.851240411498817e-40
whisfusion,voxpopuli,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,21.817684095264166,18.05365453052286,3.7640295647413087,3.1429264804183705,4.403185338462465,0.31631386741350165,0.0,400,172,30,198,231,3.144723381029748,4.365230731467844,1.4979239788465353e-23
whisfusion,ami,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,37.49662800107904,33.531157270029674,3.965470731049366,2.8843543443729676,5.0655242617244225,0.5570055332233849,0.0,400,120,38,242,16,2.9844955317759374,4.74260618881699,2.0269401472949992e-10
whisfusion,common_voice,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,33.19327731092437,29.488158899923604,3.705118411000764,2.576488496433061,4.9425970763202765,0.6130321270614358,0.0,296,90,28,178,296,,,2.1944720438722213e-08
whisfusion,earnings22,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,40.10711553175211,35.07268553940321,5.03442999234889,4.2051236040601765,5.932601453479351,0.42753012811109564,0.0,400,199,49,152,6,3.9702942016566696,6.1796749419539205,9.02240271845579e-24
whisfusion,fleurs-en,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,28.269848554382744,23.79531895364846,4.474529600734281,3.8504103475233187,5.117074275362318,0.32554453193490895,0.0,400,228,42,130,280,3.8267149949164017,5.1394319862692095,1.558224949922809e-31
whisfusion,gigaspeech,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,25.9254327563249,21.544607190412783,4.380825565912117,3.6928054172403657,5.070248162360854,0.35097720415523237,0.0,400,189,40,171,112,3.577015504284251,5.169682674525189,1.6140834241275644e-25
whisfusion,ls-dev-clean,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,7.304485907105994,5.478364430329496,1.8261214767764986,1.3930952825742684,2.299521766993694,0.22994812203620643,0.0,400,108,24,268,40,1.3010505715066412,2.358662964765478,4.27916218839515e-13
whisfusion,ls-dev-other,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,16.150870406189554,12.89030118817353,3.2605692180160264,2.6430401421071794,3.919180416894078,0.3281942830905842,0.0,400,153,34,213,33,2.3941713919342456,4.138139102981971,5.118612147181417e-18
whisfusion,ls-tc-babble0,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,69.39232011929911,58.65539952777433,10.736920591524791,9.621328565421814,11.8384019774685,0.5631004621286151,0.0,400,261,36,103,40,9.408403511190812,12.138031691693051,1.888851787642571e-40
whisfusion,ls-tc-babble10,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,16.70187647570523,11.693798931278737,5.008077544426494,4.312197974805408,5.736254063888751,0.3712448888900928,0.0,400,193,26,181,40,4.197628311053617,5.8786588379940605,1.5484387018136123e-28
whisfusion,ls-tc-babble5,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,32.819684354417795,25.375916490617623,7.443767863800174,6.541615170065069,8.354480118521147,0.4700578850654567,0.0,400,221,38,141,40,6.286390943970962,8.565024731589268,2.7458875844746914e-33
whisfusion,ls-tc-white5,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,24.754566919348825,19.410960606437182,5.3436063129116445,4.552140451048252,6.165846899085814,0.4054397354548715,0.0,400,193,33,174,40,4.428420395209155,6.27195855078537,1.1419473125509834e-27
whisfusion,ls-test-clean,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,7.754442649434572,5.554865167143035,2.199577482291537,1.6641420813906849,2.771219212444756,0.28024890286447024,0.0,400,112,23,265,40,1.6348182919255736,2.7371948866116216,6.318092322112137e-15
whisfusion,ls-test-other,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,15.873690172755593,12.192013593882752,3.6816765788728407,3.080503938390135,4.259464773468255,0.3069347658715565,0.0,400,147,18,235,33,3.077600704922859,4.365849987866924,1.7736792652658805e-22
whisfusion,slr83,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,20.69218091924556,17.487639626442043,3.204541292803516,2.5365251079093496,3.8747865318932884,0.3444702812410297,0.0,400,144,25,231,24,2.5229299937973875,3.9960490625528156,5.499425851595394e-18
whisfusion,spgispeech,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,20.461634435433563,15.169473903098357,5.292160532335205,4.706225964839051,5.83493849524281,0.2832251642226898,0.0,400,259,28,113,302,4.745997847305656,5.846255253133671,1.9079537343991638e-39
whisfusion,voxpopuli,Whisfusion upstream vs ROVER at the same K=15,conf@main/k15,rover_cg@main/k15,21.817684095264166,18.62852450041062,3.189159594853545,2.590102263350542,3.8250770217758787,0.3184286175342395,0.0,400,153,37,210,231,2.5360626449096424,3.84223130444236,1.5191671924023404e-18
